xs,lr00001_tacc,lr00005_tacc,lr0001_tacc,lr0005_tacc,lr00001_vacc,lr00005_vacc,lr0001_vacc,lr0005_vacc,lr00001_tloss,lr00005_tloss,lr0001_tloss,lr0005_tloss,lr00001_vloss,lr00005_vloss,lr0001_vloss,lr0005_vloss
1,74.19818175997884,74.43758159844944,65.8604302416438,72.8493521534702,0.40908720824341394,68.35124440559358,38.96860436339418,79.5859890494151,0.15615098178386688,0.21313491463661194,0.15558545291423798,0.1483493596315384,0.16982263326644897,0.13903583586215973,0.18495546281337738,0.13048896193504333
2,75.24496320278321,83.5144660106544,72.13136405220085,72.70136686754796,32.298934710293764,67.72453849187522,53.552223257863886,81.20444674135962,0.1425982415676117,0.1380007117986679,0.13932041823863983,0.14110833406448364,0.13570654392242432,0.1306939721107483,0.12395673245191574,0.14138874411582947
3,68.49613332312714,91.60950079496325,64.55440432744652,73.7986647071517,50.588362787188466,78.19050923904962,55.49607928911428,83.43180576356204,0.14129266142845154,0.13696831464767456,0.141530379652977,0.13842329382896423,0.13584060966968536,0.1274377703666687,0.12741941213607788,0.12686681747436523
4,75.7104876282632,93.69922980708,70.59493516604815,64.99521424845328,61.26278596863823,85.23376625868232,59.369637027466766,81.669944473177,0.13724878430366516,0.12669573724269867,0.13854549825191498,0.13702818751335144,0.1302117258310318,0.11751679331064224,0.12008490413427353,0.1222580075263977
5,88.76695633713886,94.23571747949231,74.3328170298386,57.34511523545326,68.960670470297,89.00738086583537,64.37836317970641,74.95654893125358,0.13094080984592438,0.12187767773866653,0.1359887272119522,0.13698644936084747,0.13138900697231293,0.11732512712478638,0.11818961054086685,0.11940883100032806
6,91.50086333025386,94.42322865439391,72.85131944383762,63.304196214810204,77.1729557703923,91.34241586630783,64.09247291267093,73.22674577998414,0.12551964819431305,0.11526701599359512,0.13603372871875763,0.13623610138893127,0.13551339507102966,0.11910121142864227,0.12279752641916275,0.11999667435884476
7,90.91608031922556,93.17536463523392,66.47067409774168,72.10823472325087,79.91300814490941,92.6129306040585,70.70198291477702,80.71973847406213,0.12264303863048553,0.10967843979597092,0.1334054321050644,0.13730277121067047,0.13363389670848846,0.1144804060459137,0.11566086113452911,0.12364570051431656
8,92.82507208696076,94.80359161201443,62.18770936489213,75.65943520794795,82.80007597344606,93.4506558139166,82.18865189998309,85.07693258997992,0.12179087847471237,0.1045280396938324,0.12651664018630981,0.13657918572425842,0.13663727045059204,0.1165841594338417,0.11438429355621338,0.11912204325199127
9,93.08453349554925,93.49884744065545,50.33345278880422,58.60528282208766,83.49702892306965,93.93816699289181,82.5869281162521,86.39195372161481,0.11884501576423645,0.09940148890018463,0.12191812694072723,0.13641634583473206,0.12600991129875183,0.11179625988006592,0.11342916637659073,0.11824841052293777
10,93.39210023147054,95.32460661918137,57.74733431563227,76.12113797236424,85.50828278873108,94.25552499860964,88.5932419500405,88.27077030754974,0.1176624670624733,0.09424137324094772,0.11583900451660156,0.13606061041355133,0.12665659189224243,0.1137831062078476,0.11259753257036209,0.11844740062952042
