xs,ys,zs
340,320,1.433036005124833
337.5869793416081,314.99930768152853,1.4217210793092874
333.72729423827843,306.9906916640111,1.3925092849422582
328.1665470068035,295.2174049326789,1.3367712182564397
321.08873598771993,278.8907549840467,1.2437782233637615
313.6256186094555,257.3574174647295,1.1269296443110655
308.9511530980591,233.00067285081178,1.012670964231973
311.066815721089,209.1066608330669,0.9076841263825791
319.6119834838598,187.61437387247886,0.780764821568815
330.0354635937381,171.17297612833778,0.6716276044476084
337.22242866966235,160.5523599189542,0.6058866070903162
341.2794243267273,155.14902920998637,0.5775194479598107
343.3113883458177,152.29405370676585,0.5641579624915626
344.30551319688414,151.00045948031638,0.5587845244138838
344.77689833252214,150.22962591324657,0.553654339923361
345.248409960128,149.9822670438817,0.5523486873502033
345.19636341771576,150.25848728848607,0.553654339923361
345.1443037796973,150.01111943902376,0.553654339923361
345.0922441416788,149.76375158956145,0.5523486873502033
345.04019759926655,150.0399718341658,0.553654339923361
344.98813796124807,149.7926039847035,0.5523486873502033
