xs,ys,zs
225,175,1.3355050358314173
248.57295385087355,181.37047587495536,1.1943444082980772
274.0520617689133,183.1919395714267,1.0382044681703668
297.75487501717413,177.72759455016188,0.8765688823072332
317.5365736793832,168.4180812893103,0.7281504154460932
330.86456203923393,160.0043468335937,0.634797993275868
338.45433950877015,154.73065409669405,0.5885014782758924
342.0485570350305,152.40733100540436,0.5681001133609911
343.5653888587224,151.11461005205126,0.5587845244138838
344.5600724140842,150.34405831097928,0.553654339923361
345.03158404169005,150.09669944161442,0.553654339923361
