ts,fcs,tcs
10,3.2,0.2
11,5.383333333333333,0.2833333333333333
12,7.033333333333333,0.16666666666666669
13,11.616666666666667,0.13333333333333333
14,16.116666666666667,0.16666666666666669
15,21.25,0.08333333333333333
16,26.05,0.06666666666666667
17,32.85,0.13333333333333333
18,39.06666666666666,0.1
19,44.083333333333336,0.016666666666666666
20,51.483333333333334,0.0
