xs,ys,zs
170,70,1.1606900485296896
180,70,1.168402905894139
190,70,1.1709983438921725
200,70,1.168397422780583
210,70,1.1606790823025772
220,70,1.1480777431436269
230,70,1.13097618417756
240,70,1.1098939119241775
250,70,1.0854713756065308
260,70,1.0584505074253623
270,70,1.0296521793246227
280,70,0.9999512612128342
290,70,0.9702500384836257
300,70,0.9414507965306268
310,70,0.9144284052623595
320,70,0.8900037366227741
330,70,0.8689187228126135
340,70,0.8518138130549291
350,70,0.8392085138695214
0,80,0.7537842016543477
10,80,0.7499890337728876
20,80,0.7537896847679039
30,80,0.7650707524551272
40,80,0.7834895367187232
50,80,0.8084864522808972
60,80,0.839302031417396
70,80,0.875
80,80,0.9144957257121323
90,80,0.9565891740529465
100,80,1.000001370778389
110,80,1.0434132628864117
120,80,1.0855057973749667
130,80,1.125
140,80,1.1606958362606656
150,80,1.1915086738403862
160,80,1.2165022386109425
170,80,1.2349170628480812
180,80,1.2461935612740078
190,80,1.2499890337728876
200,80,1.2461880781604517
210,80,1.234906096620969
220,80,1.216485789270274
230,80,1.1914867413861616
240,80,1.1606684206928848
250,80,1.124967101318663
260,80,1.0854674155800734
270,80,1.0433693979779624
280,80,0.9999520227563836
290,80,0.9565343429173849
300,80,0.9144354114630145
310,80,0.8749342026373261
320,80,0.8392307509411658
330,80,0.808409688691111
340,80,0.7834072900153809
350,80,0.7649830226382287
0,90,0.6834760952886245
10,90,0.6785962950905873
20,90,0.6834815784021806
30,90,0.6979835870350467
40,90,0.7216617542125925
50,90,0.753796690968559
60,90,0.7934120444167326
70,90,0.8393041637393345
80,90,0.8900786725080416
90,90,0.9441928361061735
100,90,1.0000024369393583
110,90,1.0558117331551231
120,90,1.1099249829009958
130,90,1.160697968582604
140,90,1.2065879555832675
150,90,1.246200567474663
160,90,1.2783321534390117
170,90,1.3020063605901004
180,90,1.3165037999616696
190,90,1.3213839047771265
200,90,1.3164983168481135
210,90,1.301995394362988
220,90,1.2783157040983433
230,90,1.2461786350204382
240,90,1.2065605400154866
250,90,1.160665069901267
260,90,1.1098866011061028
270,90,1.055767868246674
280,90,0.9999530889173529
290,90,0.944138004970612
300,90,0.8900183582589238
310,90,0.8392383663766605
320,90,0.7933407639405026
330,90,0.7537199273787727
340,90,0.7215795075092502
350,90,0.6978958572181482
0,100,0.6227853234790135
10,100,0.616969249152757
20,100,0.6227908065925697
30,100,0.6400731893944855
40,100,0.668291350519722
50,100,0.7065879555832675
60,100,0.7537994325253371
70,100,0.8084913261596138
80,100,0.8690018833682153
90,100,0.933492544629293
100,100,1.0000038077177473
110,100,1.066514766188782
120,100,1.1310045135976001
130,100,1.1915135477191028
140,100,1.246203309031441
150,100,1.2934120444167325
160,100,1.3317052986886604
170,100,1.3599194997874395
180,100,1.3771973133280586
190,100,1.383013692271735
200,100,1.3771918302145025
210,100,1.3599085335603274
220,100,1.331688849347992
230,100,1.293390111962508
240,100,1.2461758934636602
250,100,1.1914806490377658
260,100,1.130966131802707
270,100,1.0664709012803326
280,100,0.9999544596957419
290,100,0.9334377134937313
300,100,0.8689415691190976
310,100,0.8084255287969397
320,100,0.753728152049107
330,100,0.7065111919934812
340,100,0.6682091038163797
350,100,0.639985459577587
0,110,0.5735559862663453
10,110,0.5669804442158355
20,110,0.5735614693799014
30,110,0.5930991793120846
40,110,0.625
50,110,0.6682947013113396
60,110,0.7216678465609883
70,110,0.7834977613890575
80,110,0.8519058075157047
90,110,0.9248134642146286
100,110,1.000005483113556
110,110,1.0751971973950638
120,110,1.1481039402417286
130,110,1.2165104632812767
140,110,1.2783382457874075
150,110,1.331708649480278
160,110,1.375
170,110,1.4068968606614582
180,110,1.4264300013323445
190,110,1.433005848000274
200,110,1.4264245182187885
210,110,1.4068858944343459
220,110,1.3749835506593315
230,110,1.3316867170260533
240,110,1.2783108302196267
250,110,1.2164775645999397
260,110,1.1480655584468353
270,110,1.0751533324866145
280,110,0.9999561350915508
290,110,0.9247586330790669
300,110,0.851845493266587
310,110,0.7834319640263835
320,110,0.7215965660847581
330,110,0.6682179377215534
340,110,0.6249177532966577
350,110,0.5930114494951861
0,120,0.5372839430566339
10,120,0.5301488157283293
20,120,0.5372894261701899
30,120,0.5584888892202555
40,120,0.5931031393385419
50,120,0.6400805002125605
60,120,0.6979936394098997
70,120,0.7650829371519187
80,120,0.8393099514703104
90,120,0.9184193552348074
100,120,1.0000074631267848
110,120,1.0815952664013422
120,120,1.16070375631358
130,120,1.2349292475448728
140,120,1.3020164129649534
150,120,1.3599268106055145
160,120,1.4069008206879154
170,120,1.4415111107797445
180,120,1.4627060045685132
190,120,1.4698414365142376
200,120,1.462700521454957
210,120,1.441500144552632
220,120,1.406884371347247
230,120,1.35990487815129
240,120,1.3019889973971726
250,120,1.2348963488635358
260,120,1.160665374518687
270,120,1.0815514014928929
280,120,0.9999581151047794
290,120,0.9183645240992458
300,120,0.8392496372211926
310,120,0.7650171397892447
320,120,0.6979223589336696
330,120,0.6400037366227742
340,120,0.5930208926351995
350,120,0.5584011594033571
0,130,0.5150713616899668
10,130,0.5075935342458278
20,130,0.515076844803523
30,130,0.5372939954314868
40,130,0.5735699986676555
50,130,0.6228026866719414
60,130,0.6834962000383304
70,130,0.7538064387259922
80,130,0.831597094105861
90,130,0.9145045596173061
100,130,1.0000097477574332
110,130,1.0855146312801405
120,130,1.1684211829393263
130,130,1.246210315232096
140,130,1.3165184215978194
150,130,1.3772091934074302
160,130,1.4264385306200986
170,130,1.46271057382981
180,130,1.484923155196477
190,130,1.492401287258036
200,130,1.484917672082921
210,130,1.4626996076026977
220,130,1.4264220812794302
230,130,1.3771872609532056
240,130,1.3164910060300388
250,130,1.246177416550759
260,130,1.168382801144433
270,130,1.0854707663716912
280,130,0.9999603997354278
290,130,0.9144497284817444
300,130,0.8315367798567432
310,130,0.7537406413633181
320,130,0.6834249195621003
330,130,0.6227259230821551
340,130,0.5734877519643131
350,130,0.5372062656145883
0,140,0.507593229628408
10,140,0.5
20,140,0.5075987127419641
30,140,0.5301585634857624
40,140,0.5669941519997259
50,140,0.616986307728265
60,140,0.6786160952228735
70,140,0.7500109662271124
80,140,0.8290016561078274
90,140,0.9131880958633263
100,140,1.0000123370055014
110,140,1.0868362735302566
120,140,1.1710217994334962
130,140,1.2500109662271122
140,140,1.3214037049094127
150,140,1.383030750847243
160,140,1.4330195557841645
170,140,1.4698511842716706
180,140,1.4924064657541722
190,140,1.5
200,140,1.492400982640616
210,140,1.4698402180445584
220,140,1.433003106443496
230,140,1.3830088183930185
240,140,1.3213762893416319
250,140,1.2499780675457752
260,140,1.1709834176386031
270,140,1.0867924086218073
280,140,0.999962988983496
290,140,0.9131332647277646
300,140,0.8289413418587097
310,140,0.7499451688644383
320,140,0.6785448147466433
330,140,0.6169095441384789
340,140,0.5669119052963836
350,140,0.530070833668864
0,150,0.515076844803523
10,150,0.507599017359384
20,150,0.5150823279170791
30,150,0.5372994785450429
40,150,0.5735754817812115
50,150,0.6228081697854975
60,150,0.6835016831518865
70,150,0.7538119218395483
80,150,0.8316025772194172
90,150,0.9145100427308623
100,150,1.0000152308709893
110,150,1.0855201143936966
120,150,1.1684266660528824
130,150,1.2462157983456523
140,150,1.3165239047113755
150,150,1.3772146765209865
160,150,1.4264440137336547
170,150,1.4627160569433661
180,150,1.4849286383100333
190,150,1.492406770371592
200,150,1.484923155196477
210,150,1.4627050907162538
220,150,1.4264275643929865
230,150,1.377192744066762
240,150,1.3164964891435949
250,150,1.2461828996643154
260,150,1.1683882842579894
270,150,1.0854762494852472
280,150,0.9999658828489839
290,150,0.9144552115953006
300,150,0.8315422629702994
310,150,0.7537461244768743
320,150,0.6834304026756565
330,150,0.6227314061957113
340,150,0.5734932350778692
350,150,0.5372117487281445
0,160,0.5372949092837461
10,160,0.5301597819554416
20,160,0.5373003923973023
30,160,0.5584998554473679
40,160,0.5931141055656541
50,160,0.6400914664396726
60,160,0.6980046056370119
70,160,0.7650939033790309
80,160,0.8393209176974227
90,160,0.9184303214619198
100,160,1.0000184293538972
110,160,1.0816062326284546
120,160,1.1607147225406924
130,160,1.2349402137719852
140,160,1.3020273791920656
150,160,1.3599377768326268
160,160,1.4069117869150278
170,160,1.4415220770068569
180,160,1.4627169707956256
190,160,1.46985240274135
200,160,1.4627114876820695
210,160,1.4415111107797445
220,160,1.4068953375743594
230,160,1.3599158443784023
240,160,1.301999963624285
250,160,1.2349073150906482
260,160,1.1606763407457992
270,160,1.0815623677200052
280,160,0.9999690813318917
290,160,0.9183754903263581
300,160,0.839260603448305
310,160,0.765028106016357
320,160,0.697933325160782
330,160,0.6400147028498865
340,160,0.5930318588623118
350,160,0.5584121256304694
0,170,0.5735724356070137
10,170,0.566996893556504
20,170,0.5735779187205698
30,170,0.593115628652753
40,170,0.6250164493406685
50,170,0.6683111506520081
60,170,0.7216842959016567
70,170,0.7835142107297259
80,170,0.8519222568563731
